filename,width,height,class,xmin,ymin,xmax,ymax
1. 2016-04-12_14%3B38%3B02.jpg,692,451,bearded,136,4,687,449
6. 20180309_161114.jpg,800,600,bearded,120,120,773,552
89. Pogona_vitticeps.jpg,896,574,bearded,14,62,820,548
37. 56669846_334919357220049_5003351349216810587_n.jpg,640,640,bearded,30,54,639,630
45. q2.jpg,550,366,bearded,118,78,471,313
3. 8b1dc6e0-79ba-42ac-b17a-c47063a96ce6.jpg,800,634,bearded,100,36,755,615
4. bearded_dragon.jpg,400,300,bearded,61,59,358,287
8. 155.jpg,435,395,bearded,8,105,435,351
26. 775_shop1_809130.jpg,500,500,bearded,89,106,500,450
13.jpg,1273,992,bearded,706,4,1106,722
64. _tmp_981eb58002565429a07383f46b59295a2771view.jpg,400,301,bearded,28,69,378,246
90. thumb-67mE7Ja065SU65Oc656Y6rOk_500x500.jpg,500,500,bearded,185,183,347,413
5. CF46HddWoAARq0T.jpg,640,640,bearded,210,8,433,640
16. 69151040_1_1500549119_w640.jpg,640,640,bearded,1,103,605,449
36. 56965621_2192142261046703_6057384165712818504_n.jpg,750,679,bearded,41,104,637,539
55. web_beardeddragondiet.jpg,500,294,bearded,204,121,500,281
2. what-is-a-bearded-dragon-670x405.jpg,670,405,bearded,1,102,668,383
86. butifulBeardedDragon.jpg,700,393,bearded,2,1,516,324
59. 41463073_252903345416690_46644891481959692_n.jpg,640,640,bearded,1,108,531,341
70. 71xOTStlWFL._SX466_.jpg,466,466,bearded,5,145,465,309
91. 478b3dc02b42d.jpg,476,357,bearded,1,65,369,355
99. 87954712-side-view-of-a-bearded-dragon-isolated-on-white.jpg,1300,516,bearded,82,95,1155,484
75. FullSizeR1-e1552451194510.jpg,624,624,bearded,1,10,610,590
25. geckoholic_242.jpg,600,400,bearded,157,114,600,339
23. 263129_3_07ae4fcc-3bd0-483a-931c-a5d81186a7f1_x700.jpg,700,700,bearded,30,232,689,495
51. SILVA5QIURPTYLO4VHYUBRG64Y.jpg,1008,706,bearded,108,213,830,684
21. a.jpg,480,343,bearded,86,80,480,250
2.jpg,1267,991,bearded,270,156,1119,596
24. 3131_66627526_5.jpg,800,800,bearded,26,526,681,685
93. 102_shop1_488415.jpg,500,333,bearded,32,110,367,333
73. 1ef5c8a6baf47e5d1a9da9d41071a065.jpg,500,500,bearded,81,106,500,469
4. article.jpg,350,350,bearded,13,66,342,296
58. 997C0A405C696D1B34143C.jpg,720,540,bearded,136,126,646,491
33. 1387260609148.jpg,432,720,bearded,1,103,259,692
66. 1136470719.jpg,508,339,bearded,17,73,429,290
34. 726_shop1_866383.jpg,500,375,bearded,70,74,153,146
62. Bearded-dragon-width-700.jpg,700,458,bearded,134,5,689,458
19. 56197339_435211143714662_874107442304700461_n.jpg,1080,607,bearded,1,113,414,298
39. 37973594-small-bearded-dragon-pogona-vitticeps-isolated-on-black-background.jpg,450,300,bearded,23,117,355,229
35. small-bearded-dragon-isolated-on-black-stock-image_csp26280263.jpg,450,320,bearded,41,67,329,259
7. 37973617-small-bearded-dragon-pogona-vitticeps-isolated-on-black-background.jpg,450,300,bearded,16,41,368,272
18. pa-beardeddragon.jpg,1000,666,bearded,120,31,914,659
4. small.jpg,480,326,bearded,1,36,477,300
92. I00006F2BUf4Ravw.jpg,1000,670,bearded,78,87,934,599
4.jpg,1269,990,bearded,364,341,972,990
80. 2w6tnih.jpg,800,593,bearded,249,52,800,410
48. 54512595_507308816341006_9084972851466408711_n.jpg,480,480,bearded,98,147,324,480
7. 38898879_1922989347795155_1589164493957496832_n.jpg,640,640,bearded,3,75,411,261
71. 0130020000872.jpg,480,320,bearded,68,109,436,264
56. beardeddragon.jpg,0,0,bearded,72,54,495,264
16. Biz-xOJCYAA10oS.jpg,599,450,bearded,33,125,595,450
10.jpg,1270,991,bearded,1,450,713,905
16.jpg,1269,990,bearded,590,272,1076,990
77. thumb-KakaoTalk_20190414_115049785_500x500.jpg,500,500,bearded,80,56,413,488
